id,table_id:id,name,description,element_char,element_float,element_percent,start_date,end_date
ciiu_186,pe_ciiu,52593,OTROS TIPOS DE VENTA POR MENOR.,,,,,
ciiu_187,pe_ciiu,52600,REPARACION DE EFECTOS PERSONALES.,,,,,
ciiu_188,pe_ciiu,55104,"HOTELES, CAMPAMENTOS Y OTROS.",,,,,
ciiu_189,pe_ciiu,55205,"RESTAURANTES, BARES Y CANTINAS.",,,,,
ciiu_190,pe_ciiu,60100,TRANSPORTE POR VIA FERREA.,,,,,
ciiu_191,pe_ciiu,60214,OTROS TIPOS TRANSPORTE REG. VIA TER.,,,,,
ciiu_192,pe_ciiu,60227,OTROS TIPOS  TRANSPORTE NO REG. VIA TER.,,,,,
ciiu_193,pe_ciiu,60230,TRANSPORTE  DE CARGA POR CARRETERA.,,,,,
ciiu_194,pe_ciiu,60302,TRANSPORTE POR TUBERIAS.,,,,,
ciiu_195,pe_ciiu,61107,TRANSPORTE MARITIMO Y DE CABOTAJE.,,,,,
ciiu_196,pe_ciiu,61208,TRANSPORTE VIAS NAVEGACION INTERIOR.,,,,,
ciiu_197,pe_ciiu,62103,TRANSPORTE  REGULAR VIA AEREA.,,,,,
ciiu_198,pe_ciiu,62204,TRANSPORTE  NO REGULAR  POR VIA AEREA.,,,,,
ciiu_199,pe_ciiu,63011,MANIPULACION DE LA CARGA,,,,,
ciiu_200,pe_ciiu,63024,ALMACENAMIENTO Y DEPOSITO,,,,,
ciiu_201,pe_ciiu,63037,OTRAS ACTIVIDADES DE TRANSPORTES.,,,,,
ciiu_202,pe_ciiu,63040,AGENCIAS DE VIAJES Y GUIAS TURISTIC.,,,,,
ciiu_203,pe_ciiu,63093,ORGANIZACION DEL TRANSPORTE,,,,,
ciiu_204,pe_ciiu,64119,ACTIVIDADES POSTALES NACIONALES,,,,,
ciiu_205,pe_ciiu,64121,ACTIVIDADES DE CORREO DISTINTAS,,,,,
ciiu_206,pe_ciiu,64207,TELECOMUNICACIONES,,,,,
ciiu_207,pe_ciiu,65115,BANCA CENTRAL,,,,,
ciiu_208,pe_ciiu,65197,OTROS TIPOS INTERMEDIACION MONETARIA.,,,,,
ciiu_209,pe_ciiu,65912,ARRENDAMIENTO CON OPCION DE COMPRA,,,,,
ciiu_210,pe_ciiu,65925,OTROS TIPOS DE CREDITO,,,,,
ciiu_211,pe_ciiu,65994,OTROS TIPOS DE INTERMEDIACION  FINANC.,,,,,
ciiu_212,pe_ciiu,66010,PLANES DE SEGUROS DE VIDA,,,,,
ciiu_213,pe_ciiu,66023,PLANES DE PENSIONES,,,,,
ciiu_214,pe_ciiu,66036,PLANES DE SEGUROS GENERALES,,,,,
ciiu_215,pe_ciiu,67118,ADMINISTRACION MERCADOS FINANCIEROS.,,,,,
ciiu_216,pe_ciiu,67120,ACTIVIDADES BURSATILES,,,,,
ciiu_217,pe_ciiu,67190,ACTIV. AUXIL ARES DE INTERM. FINANC.,,,,,
ciiu_218,pe_ciiu,67206,ACTIV. FINANC. PLANES SEGUROS Y PENS.,,,,,
ciiu_219,pe_ciiu,70109,ACTIVIDADES INMOBILIARIAS,,,,,
ciiu_220,pe_ciiu,70200,ACTIV. INMOBILIARIAS POR RETRIBUCION.,,,,,
ciiu_221,pe_ciiu,71118,ALQUILER EQUIPO TRANSPORTE V. TERRES.,,,,,
ciiu_222,pe_ciiu,71120,ALQUILER EQUIPO TRANSPORTE V.ACUAT.,,,,,
ciiu_223,pe_ciiu,71133,ALQUILER EQUIPO TRANSPORTE V.AEREA.,,,,,
ciiu_224,pe_ciiu,71219,ALQUILER MAQUI. Y EQUIP.AGROPECUARIO.,,,,,
ciiu_225,pe_ciiu,71221,ALQUILER MAQUI. Y EQUIP.CONSTRUCCION.,,,,,
ciiu_226,pe_ciiu,71234,ALQUILER MAQUI.Y EQUIP.DE OFICINA.,,,,,
ciiu_227,pe_ciiu,71290,ALQUILER OTROS TIPOS MAQ.Y EQUI. NCP.,,,,,
ciiu_228,pe_ciiu,71307,ALQUILER ENSERES DOMESTICOS NCP.,,,,,
ciiu_229,pe_ciiu,72101,CONSULTORES EN EQUIPO INFORMATICA.,,,,,
ciiu_230,pe_ciiu,72202,CONSULTORES  PROG. Y SUMIN. INFORMATIC.,,,,,
ciiu_231,pe_ciiu,72303,PROCESAMIENTO DE DATOS.,,,,,
ciiu_232,pe_ciiu,72404,ACTIV.RELACIONADAS.CON BASE DE DATO.,,,,,
ciiu_233,pe_ciiu,72505,MANTEN.Y REPAR.MAQUIN. DE OFICINA.,,,,,
ciiu_234,pe_ciiu,72909,OTRAS ACTIVIDADES DE INFORMATICA.,,,,,
ciiu_235,pe_ciiu,73108,INVESTIGACION DE CIENCIAS NATURALES.,,,,,
ciiu_236,pe_ciiu,73209,INVESTIGACION DE CIENCIAS SOCIALES.,,,,,
ciiu_237,pe_ciiu,74117,ACTIVIDADES JURIDICAS,,,,,
ciiu_238,pe_ciiu,74120,ACTIVIDADES DE CONTABILIDAD,,,,,
ciiu_239,pe_ciiu,74132,INVESTIGACION DE MERCADOS,,,,,
ciiu_240,pe_ciiu,74145,ACTIV.DE ASESORAMIENTO EMPRESARIAL,,,,,
ciiu_241,pe_ciiu,74218,ACTIV.DE ARQUITECTURA E INGENIERIA,,,,,
ciiu_242,pe_ciiu,74220,ENSAYOS Y ANALISIS TECNICOS,,,,,
ciiu_243,pe_ciiu,74306,PUBLICIDAD,,,,,
ciiu_244,pe_ciiu,74914,OBTENCION Y DOTACION PERSONAL,,,,,
ciiu_245,pe_ciiu,74927,ACTIV. DE INVESTIGACION Y SEGURIDAD.,,,,,
ciiu_246,pe_ciiu,74930,ACTIVIDADES LIMPIEZA DE EDIFICIOS,,,,,
ciiu_247,pe_ciiu,74942,ACTIVIDADES DE FOTOGRAFIA,,,,,
ciiu_248,pe_ciiu,74955,ACTIVIDADES DE ENVASE Y EMPAQUE,,,,,
ciiu_249,pe_ciiu,74996,OTRAS ACTIVIDADES EMPRESARIALES NCP.,,,,,
ciiu_250,pe_ciiu,75113,ACTIV. ADMINIST. PUBLICA EN GENERAL,,,,,
ciiu_251,pe_ciiu,75126,REGULACION DE ACTIVID.ORGANISMOS,,,,,
ciiu_252,pe_ciiu,75139,REGULAC. Y FACILITAC. ACTIV.ECONOMIC.,,,,,
ciiu_253,pe_ciiu,75141,SERVIC. AUXIL.PARA ADMINIST.PUBLICA.,,,,,
ciiu_254,pe_ciiu,75214,RELACIONES EXTERIORES,,,,,
ciiu_255,pe_ciiu,75227,ACTIVIDADES DE DEFENSA,,,,,
ciiu_256,pe_ciiu,75230,MANTENIMIENTO DEL ORDEN PUBLICO,,,,,
ciiu_257,pe_ciiu,75302,SERVICIOS PUBLICOS SEGURIDAD SOCIAL,,,,,
ciiu_258,pe_ciiu,80107,ENSE%ANZA PRIMARIA,,,,,
ciiu_259,pe_ciiu,80210,ENSE%ANZA SECUNDARIA  FORMACION GRAL.,,,,,
ciiu_260,pe_ciiu,80223,ENSE%ANZA SECUNDARIA FORMAC. TECNICA.,,,,,
ciiu_261,pe_ciiu,80309,ENSE%ANZA SUPERIOR,,,,,
ciiu_262,pe_ciiu,80904,EDUCACION DE ADULTOS Y OTROS,,,,,
ciiu_263,pe_ciiu,85111,ACTIVIDADES DE HOSPITALES,,,,,
ciiu_264,pe_ciiu,85124,ACTIVIDADES DE MEDICOS Y ODONTOLOGO,,,,,
ciiu_265,pe_ciiu,85193,OTRAS ACTIV.RELAC. CON SALUD HUMANA,,,,,
ciiu_266,pe_ciiu,85200,ACTIVIDADES VETERINARIAS,,,,,
ciiu_267,pe_ciiu,85313,SERVICIOS SOCIALES CON ALOJAMIENTO,,,,,
ciiu_268,pe_ciiu,85326,SERVICIOS SOCIALES SIN ALOJAMIENTO,,,,,
ciiu_269,pe_ciiu,90004,ELIMINACION DE DESPERDICIOS,,,,,
ciiu_270,pe_ciiu,91114,ACTIV.ORGANIZACIONES EMPRESARIALES,,,,,
ciiu_271,pe_ciiu,91127,ACTIV.ORGANIZACIONES PROFESIONALES.,,,,,
ciiu_272,pe_ciiu,91202,ACTIVIDADES DE SINDICATOS,,,,,
ciiu_273,pe_ciiu,91911,ACTIV.ORGANIZACIONES RELIGIOSAS,,,,,
ciiu_274,pe_ciiu,91924,ACTIV.ORGANIZACIONES POLITICAS,,,,,
ciiu_275,pe_ciiu,91993,ACTIVIDADES OTRAS ASOCIACIONES NCP.,,,,,
ciiu_276,pe_ciiu,92110,PRODUCCION Y DIST.FILMES Y VIDEOS,,,,,
ciiu_277,pe_ciiu,92123,EXHIBICION FILMES Y VIDEOS,,,,,
ciiu_278,pe_ciiu,92136,ACTIVIDADES DE RADIO Y TELEVISION.,,,,,
ciiu_279,pe_ciiu,92149,"ACTIV.TEATRALES,  MUSICALES Y OTRAS.",,,,,
ciiu_280,pe_ciiu,92192,OTRAS ACTIVID.ENTRETENIMIENTO NCP.,,,,,
ciiu_281,pe_ciiu,92209,ACTIVIDADES DE AGENCIAS DE NOTICIAS,,,,,
ciiu_282,pe_ciiu,92312,ACTIVIDADES BIBLIOTECAS Y ARCHIVOS,,,,,
ciiu_283,pe_ciiu,92325,ACTIV.MUSEOS Y LUGARES HISTORICOS.,,,,,
ciiu_284,pe_ciiu,92338,ACTIV.JARDINES BOTANICOS Y ZOOLOGIC.,,,,,
ciiu_285,pe_ciiu,92413,ACTIVIDADES DEPORTIVAS,,,,,
ciiu_286,pe_ciiu,92495,OTRAS ACTIVIDADES DE ESPARCIMIENTO,,,,,
ciiu_287,pe_ciiu,93016,"LAVADO, LIMPIEZA Y TE%IDO TELA",,,,,
ciiu_288,pe_ciiu,93029,PELUQUERIA Y OTROS,,,,,
ciiu_289,pe_ciiu,93031,POMPAS FUNEBRES Y ACTIVID.CONEXAS,,,,,
ciiu_290,pe_ciiu,93098,OTRAS ACTIVID.DE TIPO SERVICIO NCP,,,,,
ciiu_291,pe_ciiu,95006,HOGARES PRIVADOS C. SERV.DOMESTICO,,,,,
